config_id,episode,n_capture,n_steps
put_back_0,152,2,10
put_back_0,201,31,516
put_back_0,251,42,516
put_back_0,251,43,517
put_back_0,301,35,519
put_back_0,401,41,519
put_back_0,52,3,17
put_back_0,251,44,522
put_back_0,102,2,19
put_back_0,201,32,523
put_back_0,351,50,524
put_back_0,351,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,301,36,525
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,0,0
put_back_0,352,1,1
put_back_0,401,42,526
put_back_0,352,2,5
put_back_0,401,43,530
put_back_0,1,37,531
put_back_0,1,38,532
put_back_0,251,45,536
put_back_0,451,40,536
put_back_0,201,33,539
put_back_0,301,37,539
put_back_0,152,3,35
put_back_0,251,46,541
put_back_0,152,4,39
put_back_0,451,41,545
put_back_0,52,4,43
put_back_0,102,3,43
put_back_0,1,39,548
put_back_0,301,38,552
put_back_0,401,44,552
put_back_0,251,47,553
put_back_0,301,39,553
put_back_0,52,5,54
put_back_0,352,3,33
put_back_0,451,42,558
put_back_0,301,40,560
put_back_0,251,48,562
put_back_0,401,45,562
put_back_0,352,4,40
put_back_0,152,5,60
put_back_0,401,46,565
put_back_0,251,49,567
put_back_0,352,5,49
put_back_0,401,47,573
put_back_0,352,6,50
put_back_0,401,48,576
put_back_0,152,6,73
put_back_0,102,4,75
put_back_0,251,50,579
put_back_0,251,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,0,0
put_back_0,252,1,3
put_back_0,301,41,584
put_back_0,1,40,586
put_back_0,401,49,586
put_back_0,252,2,8
put_back_0,301,42,587
put_back_0,152,7,83
put_back_0,201,34,589
put_back_0,152,8,86
put_back_0,451,43,591
put_back_0,252,3,14
put_back_0,152,9,91
put_back_0,52,6,97
put_back_0,201,35,600
put_back_0,401,50,600
put_back_0,401,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,402,0,0
put_back_0,252,4,27
put_back_0,451,44,606
put_back_0,102,5,104
put_back_0,152,10,103
put_back_0,352,7,84
put_back_0,402,1,8
put_back_0,451,45,608
put_back_0,201,36,609
put_back_0,201,37,611
put_back_0,252,5,33
put_back_0,352,8,91
put_back_0,52,7,113
put_back_0,252,6,38
put_back_0,1,41,619
put_back_0,252,7,41
put_back_0,201,38,621
put_back_0,252,8,42
put_back_0,451,46,622
put_back_0,352,9,101
put_back_0,402,2,27
put_back_0,1,42,628
put_back_0,201,39,628
put_back_0,301,43,628
put_back_0,252,9,52
put_back_0,451,47,632
put_back_0,152,11,131
put_back_0,252,10,58
put_back_0,1,43,638
put_back_0,252,11,60
put_back_0,352,10,118
put_back_0,301,44,643
put_back_0,152,12,141
put_back_0,201,40,647
put_back_0,201,41,648
put_back_0,252,12,69
put_back_0,301,45,650
put_back_0,52,8,149
put_back_0,451,48,653
put_back_0,52,9,153
put_back_0,402,3,57
put_back_0,52,10,155
put_back_0,201,42,660
put_back_0,102,6,160
put_back_0,52,11,163
put_back_0,451,49,666
put_back_0,301,46,667
put_back_0,201,43,669
put_back_0,252,13,91
put_back_0,352,11,147
put_back_0,1,44,672
put_back_0,201,44,672
put_back_0,252,14,94
put_back_0,402,4,73
put_back_0,52,12,171
put_back_0,402,5,74
put_back_0,451,50,674
put_back_0,451,0,0
put_back_0,1,45,675
put_back_0,102,7,171
put_back_0,452,0,0
put_back_0,452,0,0
put_back_0,452,0,0
put_back_0,452,0,0
put_back_0,452,0,0
put_back_0,452,0,0
put_back_0,452,0,0
put_back_0,452,0,0
put_back_0,452,0,0
put_back_0,152,13,171
put_back_0,1,46,679
put_back_0,52,13,176
put_back_0,352,12,156
put_back_0,452,1,6
put_back_0,102,8,177
put_back_0,152,15,176
put_back_0,252,15,102
put_back_0,152,16,177
put_back_0,201,45,684
put_back_0,201,46,686
put_back_0,301,48,686
put_back_0,402,6,87
put_back_0,52,14,189
put_back_0,201,47,693
put_back_0,1,47,694
put_back_0,352,13,171
put_back_0,402,7,96
put_back_0,452,2,23
put_back_0,252,16,119
put_back_0,301,49,699
put_back_0,452,3,27
put_back_0,352,14,179
put_back_0,201,48,705
put_back_0,252,17,126
put_back_0,152,17,205
put_back_0,1,48,711
put_back_0,452,4,39
put_back_0,252,18,135
put_back_0,152,18,210
put_back_0,52,15,214
put_back_0,201,49,718
put_back_0,301,50,718
put_back_0,352,15,194
put_back_0,301,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,302,0,0
put_back_0,52,16,217
put_back_0,402,8,122
put_back_0,102,9,219
put_back_0,302,1,5
put_back_0,52,17,223
put_back_0,102,10,224
put_back_0,452,5,58
put_back_0,1,49,734
put_back_0,252,19,159
put_back_0,1,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,0,0
put_back_0,2,1,1
put_back_0,102,11,239
put_back_0,102,12,244
put_back_0,2,2,7
put_back_0,252,20,170
put_back_0,452,6,76
put_back_0,201,50,751
put_back_0,201,0,0
put_back_0,202,0,0
put_back_0,202,0,0
put_back_0,202,0,0
put_back_0,202,0,0
put_back_0,202,0,0
put_back_0,52,18,249
put_back_0,202,0,0
put_back_0,202,0,0
put_back_0,202,0,0
put_back_0,202,0,0
put_back_0,302,2,37
put_back_0,352,16,232
put_back_0,402,9,157
put_back_0,452,7,83
put_back_0,452,8,86
put_back_0,52,19,258
put_back_0,152,19,256
put_back_0,202,1,10
put_back_0,302,3,43
put_back_0,402,10,166
put_back_0,452,9,92
put_back_0,202,2,16
put_back_0,2,3,26
put_back_0,302,4,50
put_back_0,352,17,245
put_back_0,252,21,192
put_back_0,152,20,267
put_back_0,2,4,31
put_back_0,52,20,270
put_back_0,2,5,38
put_back_0,302,5,63
put_back_0,102,13,278
put_back_0,352,18,258
put_back_0,52,21,280
put_back_0,302,6,67
put_back_0,252,22,207
put_back_0,2,6,45
put_back_0,152,21,282
put_back_0,102,14,285
put_back_0,402,11,190
put_back_0,302,7,74
put_back_0,102,15,289
put_back_0,402,12,196
put_back_0,152,22,293
put_back_0,252,23,220
put_back_0,2,7,59
put_back_0,52,22,299
put_back_0,152,23,297
put_back_0,302,8,84
put_back_0,402,13,202
put_back_0,252,24,225
put_back_0,2,8,63
put_back_0,202,3,54
put_back_0,2,9,67
put_back_0,202,4,58
put_back_0,152,24,306
put_back_0,452,10,137
put_back_0,102,17,310
put_back_0,102,18,312
put_back_0,252,25,237
put_back_0,202,5,66
put_back_0,352,19,293
put_back_0,452,11,143
put_back_0,402,14,221
put_back_0,52,23,320
put_back_0,452,12,149
put_back_0,252,26,245
put_back_0,302,9,107
put_back_0,252,27,250
put_back_0,352,20,305
put_back_0,452,13,155
put_back_0,202,6,80
put_back_0,52,24,331
put_back_0,102,19,330
put_back_0,152,25,330
put_back_0,452,14,161
put_back_0,302,10,118
put_back_0,152,26,333
put_back_0,152,27,334
put_back_0,252,28,260
put_back_0,152,28,338
put_back_0,52,25,341
put_back_0,452,15,170
put_back_0,102,20,341
put_back_0,302,11,127
put_back_0,2,10,104
put_back_0,352,21,322
put_back_0,52,26,346
put_back_0,402,15,249
put_back_0,2,11,109
put_back_0,52,27,349
put_back_0,352,22,328
put_back_0,352,23,330
put_back_0,52,28,352
put_back_0,252,29,276
put_back_0,302,12,137
put_back_0,202,7,106
put_back_0,402,16,259
put_back_0,252,30,282
put_back_0,2,12,120
put_back_0,52,29,359
put_back_0,152,29,357
put_back_0,202,8,111
put_back_0,302,13,147
put_back_0,402,17,265
put_back_0,352,24,342
put_back_0,102,21,363
put_back_0,2,13,126
put_back_0,402,18,273
put_back_0,152,30,370
put_back_0,352,25,352
put_back_0,402,19,277
put_back_0,452,16,205
put_back_0,252,31,302
put_back_0,2,14,141
put_back_0,52,30,381
put_back_0,152,31,380
put_back_0,402,20,285
put_back_0,452,17,211
put_back_0,302,14,168
put_back_0,352,26,362
put_back_0,102,22,383
put_back_0,202,9,136
